index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,lineID,bulbonline,Universe,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,globalposition_x,globalposition_y,globalposition_z,AmI_0axis_IndicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal,AmI_Xaxis_indicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Yaxis_indicatorLocal
104,0.7737,2.8532,5.1326,11.3959,2.3202,-2.3202,3,8,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,0.7072,3.1662,5.0696,11.3959,2.3106,-2.3106,3,9,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,0.6406,3.4792,5.0162,11.3959,2.2005,-2.2005,3,10,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,0.5741,3.7922,4.9724,11.3959,2.0028,-2.0028,3,11,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,0.5076,4.1052,4.9383,11.3959,1.7419,-1.7419,3,12,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,0.4410,4.4182,4.9142,11.3959,1.4932,-1.4932,3,13,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,0.3745,4.7313,4.8998,11.3959,1.2755,-1.2755,3,14,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,0.3080,5.0443,4.8950,11.3959,1.1005,-1.1005,3,15,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,0.2414,5.3573,4.8998,11.3959,0.9543,-0.9543,3,16,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,0.1749,5.6703,4.9143,11.3959,0.8257,-0.8257,3,17,1,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
